"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","seedling","QuadName","Grazing","Group"
"1","Q1",32,2,2.34349907390919,1,1,39.5469964829189,0,0,"E1 Q1","UG","E1"
"2","Q1",32,1,2.02436444686415,1,1,40.6481800457969,0,0,"E1 Q1","UG","E1"
"3","Q1",32,3,16.9727161409373,1,1,18.9999238141884,0,0,"E1 Q1","UG","E1"
"4","Q1",33,8,0.25,1,1,1.7584230021793,1,0,"E1 Q1","UG","E1"
"5","Q1",33,7,0.25,1,1,4.9935823801924,0,0,"E1 Q1","UG","E1"
"6","Q1",33,5,0.249999999999993,1,1,10.3587612914391,0,0,"E1 Q1","UG","E1"
"7","Q1",33,6,0.25,1,1,28.3060995894039,0,0,"E1 Q1","UG","E1"
"8","Q1",33,4,0.249999999999993,1,1,2.8120792531606,1,0,"E1 Q1","UG","E1"
"9","Q1",34,9,0.370707558033952,0,1,41.3427487980989,0,0,"E1 Q1","UG","E1"
"10","Q1",34,10,0.25,1,1,7.7177800389795,0,0,"E1 Q1","UG","E1"
"11","Q1",35,18,0.24999999999999,0,1,8.1652503518962,0,1,"E1 Q1","UG","E1"
"12","Q1",35,17,0.24999999999999,0,1,4.6580503486299,0,1,"E1 Q1","UG","E1"
"13","Q1",35,30,0.25,0,1,1.8496722210143,1,1,"E1 Q1","UG","E1"
"14","Q1",35,20,0.24999999999999,0,1,14.2879894200985,0,1,"E1 Q1","UG","E1"
"15","Q1",35,29,0.25,1,1,10.2312862913203,0,0,"E1 Q1","UG","E1"
"16","Q1",35,19,0.24999999999999,1,1,8.40302691461761,0,1,"E1 Q1","UG","E1"
"17","Q1",35,28,0.25,0,1,31.6674089675342,0,1,"E1 Q1","UG","E1"
"18","Q1",35,37,0.25,1,1,5.0219589427188,0,1,"E1 Q1","UG","E1"
"19","Q1",35,14,0.24999999999999,0,1,3.2313925348012,1,1,"E1 Q1","UG","E1"
"20","Q1",35,16,0.24999999999999,0,1,8.28413863325682,0,0,"E1 Q1","UG","E1"
"21","Q1",35,15,0.24999999999999,0,1,14.6446542641807,0,1,"E1 Q1","UG","E1"
"22","Q1",35,35,0.25,1,1,5.8541753497438,0,1,"E1 Q1","UG","E1"
"23","Q1",35,21,0.24999999999999,0,1,10.2457925413339,0,1,"E1 Q1","UG","E1"
"24","Q1",35,27,0.24999999999999,1,1,11.2780933235453,0,1,"E1 Q1","UG","E1"
"25","Q1",35,36,0.25,0,1,5.6758433183278,0,1,"E1 Q1","UG","E1"
"26","Q1",35,38,0.24999999999999,1,1,11.167176135942,0,1,"E1 Q1","UG","E1"
"27","Q1",35,26,0.24999999999999,0,1,3.3720315974322,1,1,"E1 Q1","UG","E1"
"28","Q1",35,13,0.61960947552563,1,1,9.9996191023968,0,0,"E1 Q1","UG","E1"
"29","Q1",35,25,0.24999999999999,1,1,7.6520050389182,0,1,"E1 Q1","UG","E1"
"30","Q1",35,23,0.24999999999999,0,1,3.58805659763331,1,1,"E1 Q1","UG","E1"
"31","Q1",35,12,1.00712532788884,1,1,0.425111272272787,1,0,"E1 Q1","UG","E1"
"32","Q1",35,24,0.24999999999999,0,1,13.6558558257598,0,1,"E1 Q1","UG","E1"
"33","Q1",35,11,0.49079655464245,0,1,2.36977939493954e-08,1,0,"E1 Q1","UG","E1"
"34","Q1",35,34,0.24999999999999,0,1,22.3941339588979,0,1,"E1 Q1","UG","E1"
"35","Q1",35,32,0.25,0,1,11.6796948864192,0,1,"E1 Q1","UG","E1"
"36","Q1",35,22,0.24999999999999,1,1,11.3157862923304,0,1,"E1 Q1","UG","E1"
"37","Q1",35,33,0.24999999999999,0,1,35.3384347522031,0,1,"E1 Q1","UG","E1"
"38","Q1",35,31,0.25,0,1,6.3079769126664,0,1,"E1 Q1","UG","E1"
"39","Q1",36,39,0.41619683382915,0,1,25.44692145,0,0,"E1 Q1","UG","E1"
"40","Q1",36,47,0.24999999999999,0,1,0.0842362818702043,1,0,"E1 Q1","UG","E1"
"41","Q1",36,40,0.24999999999999,0,1,0.798719095035608,1,0,"E1 Q1","UG","E1"
"42","Q1",36,46,0.24999999999999,1,1,4.79032847375301,0,0,"E1 Q1","UG","E1"
"43","Q1",36,44,0.24999999999999,0,1,9.7042120720794,0,1,"E1 Q1","UG","E1"
"44","Q1",36,43,0.24999999999999,0,1,7.1132487884164,0,0,"E1 Q1","UG","E1"
"45","Q1",36,42,0.24999999999999,0,1,14.6903316079732,0,1,"E1 Q1","UG","E1"
"46","Q1",36,45,0.24999999999999,0,1,15.0653542645724,0,1,"E1 Q1","UG","E1"
"47","Q1",36,41,0.24999999999999,0,1,12.2007136369044,0,0,"E1 Q1","UG","E1"
"48","Q1",37,48,0.24999999999999,1,1,13.5819394194409,0,1,"E1 Q1","UG","E1"
"49","Q1",37,50,0.25,1,1,14.7429292642722,0,0,"E1 Q1","UG","E1"
"50","Q1",37,49,0.25,1,1,34.1651300636104,0,1,"E1 Q1","UG","E1"
"51","Q1",38,53,0.25,1,1,9.7343066033574,0,0,"E1 Q1","UG","E1"
"52","Q1",38,52,0.24999999999999,0,1,0.247470657022305,1,0,"E1 Q1","UG","E1"
"53","Q1",38,51,0.25,0,1,9.6927737908188,0,0,"E1 Q1","UG","E1"
"54","Q1",40,56,0.249999999999993,0,1,22.0776159898531,0,1,"E1 Q1","UG","E1"
"55","Q1",40,54,2.10568512688599,1,1,24.4797496087891,0,0,"E1 Q1","UG","E1"
"56","Q1",40,58,0.250000000000004,1,1,4.7185105049361,0,1,"E1 Q1","UG","E1"
"57","Q1",40,57,0.249999999999993,0,1,10.4042261352314,0,1,"E1 Q1","UG","E1"
"58","Q1",40,59,0.25,1,1,20.0746566129876,0,0,"E1 Q1","UG","E1"
"59","Q1",40,55,0.249999999999994,0,1,14.8847245769041,0,1,"E1 Q1","UG","E1"
"60","Q1",40,60,0.249999999999996,1,1,17.314462079167,0,1,"E1 Q1","UG","E1"
"61","Q1",41,62,0.25,0,1,0.6130784698627,1,0,"E1 Q1","UG","E1"
"62","Q1",41,61,0.24999999999999,0,1,28.45232849579,0,0,"E1 Q1","UG","E1"
"63","Q1",45,68,0.98783823061766,1,1,26.1258894156697,0,0,"E1 Q1","UG","E1"
"64","Q1",46,71,0.24999999999999,1,1,28.6951238085161,0,1,"E1 Q1","UG","E1"
"65","Q1",46,70,0.24999999999999,0,1,9.88565113474851,0,1,"E1 Q1","UG","E1"
"66","Q1",46,69,0.24999999999999,1,1,20.2352941131374,0,1,"E1 Q1","UG","E1"
"67","Q1",46,72,0.24999999999999,0,1,3.1197855034473,1,1,"E1 Q1","UG","E1"
"68","Q1",49,82,0.25,0,1,4.4431683171798,1,1,"E1 Q1","UG","E1"
"69","Q1",49,80,0.25,1,1,15.3367792648253,0,1,"E1 Q1","UG","E1"
"70","Q1",49,79,0.24999999999999,1,1,11.5329370737826,0,0,"E1 Q1","UG","E1"
"71","Q1",49,81,0.25,0,1,9.0237550401957,0,1,"E1 Q1","UG","E1"
"72","Q1",50,86,0.25,1,1,15.9052222341046,0,1,"E1 Q1","UG","E1"
