"","X","quad","year","NRquad","totParea","recArea","Group"
"1",1,"A1",32,36,18.0303793284309,1.99663020640027,"A"
"2",2,"A1",33,8,25.8794626260061,0.309125429519578,"A"
"3",3,"A1",34,2,28.529575775678,0.0701026897744845,"A"
"4",4,"A1",35,7,6.64968592273487,1.05268129673124,"A"
"5",5,"A1",36,1,8.29211547430729,0.12059648748241,"A"
"6",6,"A1",37,4,0.499999999999979,8.00000000000034,"A"
"7",7,"A1",38,9,1.99999999999992,4.50000000000017,"A"
"8",8,"A1",39,37,6.49999999999983,5.69230769230784,"A"
"9",9,"A1",40,21,19.4999999999995,1.07692307692311,"A"
"10",10,"A1",41,14,43.0941803038989,0.32486985252469,"A"
"11",11,"A1",42,55,51.9999999999987,1.05769230769233,"A"
"12",12,"A1",43,18,78.0038383680055,0.230757875209677,"A"
"13",13,"A1",44,18,106.233652733867,0.169437833838708,"A"
"14",14,"A12",35,30,52.5053201918244,0.571370670446293,"A"
"15",15,"A12",36,4,49.2142748760143,0.0812772312520547,"A"
"16",16,"A12",37,14,54.2380351507638,0.258121444869539,"A"
"17",17,"A12",38,5,73.1265804187931,0.0683745906258052,"A"
"18",18,"A12",39,19,57.142602475194,0.332501481854069,"A"
"19",19,"A12",40,5,93.2305905306852,0.0536304658325031,"A"
"20",20,"A12",41,1,73.857301451487,0.013539622763727,"A"
"21",21,"A12",42,1,66.2499999999989,0.0150943396226418,"A"
"22",22,"A12",43,3,31.9220424502809,0.0939789490184578,"A"
"23",23,"A12",44,5,37.6774097565946,0.132705513258508,"A"
"24",24,"A5",33,1,316.033639126439,0.00316422012151662,"A"
"25",25,"A5",34,0,84.2942220010583,0,"A"
"26",26,"A5",35,9,70.1095052457327,0.128370610639102,"A"
"27",27,"A5",36,2,106.152676332144,0.0188407873367426,"A"
"28",28,"A5",37,10,31.9999999999996,0.312500000000004,"A"
"29",29,"A5",38,20,46.2900570703657,0.43205822731214,"A"
"30",30,"A5",39,53,64.5122342754972,0.821549595905567,"A"
"31",31,"A5",40,4,115.761803081267,0.034553711963107,"A"
"32",32,"A5",41,0,138.004066283399,0,"A"
"33",33,"A5",42,0,184.88992749092,0,"A"
"34",34,"A5",43,0,155.031225472371,0,"A"
"35",35,"A5",44,0,132.811905376567,0,"A"
"36",36,"A7",33,9,51.6378153032353,0.17429087476201,"A"
"37",37,"A7",34,1,58.4640864171185,0.0171045176839913,"A"
"38",38,"A7",35,11,58.8923011786761,0.186781629853902,"A"
"39",39,"A7",36,1,65.4656561499351,0.0152751848650186,"A"
"40",40,"A7",37,20,22.3890532389326,0.893293690740874,"A"
"41",41,"A7",38,17,41.9999999999991,0.404761904761914,"A"
"42",42,"A7",39,17,50.1786385091414,0.338789582680746,"A"
"43",43,"A7",40,14,61.1569445859338,0.228919219146537,"A"
"44",44,"A7",41,9,78.4498387724749,0.114722989120505,"A"
"45",45,"A7",42,4,29.0753608885977,0.137573528848911,"A"
"46",46,"A7",43,7,24.9424095939945,0.280646501839398,"A"
"47",47,"A7",44,12,25.9999999999995,0.461538461538471,"A"
"48",48,"B1",32,43,42.9208626660426,1.00184379644401,"B"
"49",49,"B1",33,5,78.0916617387589,0.0640273223628736,"B"
"50",50,"B1",34,0,19.4463069930313,0,"B"
"51",51,"B1",35,10,4.45232677412795,2.24601663519153,"B"
"52",52,"B1",36,4,14.7824519405146,0.27059110464869,"B"
"53",53,"B1",39,32,48.4260384291743,0.660801524097449,"B"
"54",54,"B1",40,11,64.6690759565292,0.170096755478526,"B"
"55",55,"B1",41,4,62.3896148513201,0.0641132343825547,"B"
"56",56,"B1",42,11,70.1678542184932,0.15676694296148,"B"
"57",57,"B1",43,4,64.6332139529705,0.0618876852218822,"B"
"58",58,"B1",44,4,49.3787684751165,0.0810064755263332,"B"
"59",59,"B4",33,3,102.431724134031,0.0292878014634854,"B"
"60",60,"B4",34,0,85.1355238932556,0,"B"
"61",61,"B4",35,3,19.1099856421393,0.156985989219412,"B"
"62",62,"B4",36,0,10.6542680311244,0,"B"
"63",63,"B4",39,5,6.49999999999992,0.769230769230779,"B"
"64",64,"B4",40,0,4.9999999999999,0,"B"
"65",65,"B4",41,1,0.999999999999972,1.00000000000003,"B"
